CNPE;Taux_redevance;N_sim;NPV_mean_M€;NPV_median_M€;NPV_std_M€;NPV_SE_M€;NPV_2.5_percentile_M€;NPV_97.5_percentile_M€;Probability_NPV_positive;ROI_mean;ROI_std;CAPEX;OPEX;REDEVANCE;LOSS_PROD
Nogent;29560;10000;256.98917810860314;206.30876002540094;179.4060459296351;1.7940604592963512;22.984486186837042;697.2072941116049;0.9887;3.165720506106623;2.762415542493328;100.1447242611052;1.1825105969911265;21.850752;0.45111527744617863
Nogent;30060;10000;261.17937423727653;205.7304201396624;183.31468288183865;1.8331468288183865;27.10141890424438;721.1229304551388;0.9913;3.2093630278221337;2.8041679345711614;99.85737535509352;1.1807336399463033;22.220352;0.4488487236390834
Nogent;30560;10000;265.21489323238586;212.67401632206054;184.04308748923378;1.840430874892338;25.32253662814946;720.6728694599772;0.9908;3.2556959159513594;2.853958843932348;100.46471961368862;1.1819036090915374;22.589952;0.4508098377683588
Nogent;31060;10000;267.1366476962184;212.7460984082865;185.07582916199584;1.8507582916199583;29.693892452095994;732.3547679222036;0.9921;3.2635131430965134;2.8620250699241843;100.72132061127381;1.1946006253609567;22.959552;0.45140604568692555
Nogent;31560;10000;277.1532157894292;222.93529163413447;190.2450803824352;1.9024508038243522;29.391394523245218;741.7845360836358;0.9918;3.408225420208955;2.9536809173549665;100.11689715400479;1.1808449366056903;23.329152;0.4502636802145789
Nogent;32060;10000;281.9295839403411;225.522987061482;192.5327916239481;1.925327916239481;30.594634869829175;753.3518166773662;0.992;3.4430400754894612;2.923807602849238;100.3299615347775;1.1950255515049184;23.698752;0.4495945687632518
Nogent;32560;10000;285.25079819507516;228.7846406818045;193.52311504204494;1.9352311504204494;37.69994659608994;760.6120060500436;0.9938;3.483660699106069;2.9729562142963726;100.32345179745047;1.1844509303037996;24.068352;0.449253367271414
Nogent;33060;10000;291.77189921854745;229.0839696516623;198.57713256727348;1.9857713256727347;38.05453794225033;777.174497511571;0.993;3.5687969741244654;3.0777122022133416;100.475082520024;1.1991638202023158;24.437952;0.4492606032911523
Nogent;33560;10000;296.2636826722385;233.87707306327644;201.3364585680334;2.0133645856803337;41.66306335157177;789.048027740104;0.9944;3.6129760603489443;3.122810248406661;100.67727730098517;1.1953930936344819;24.807552;0.4482095146988177
Nogent;34060;10000;298.30661117985426;238.26325149091758;199.27365220984134;1.9927365220984135;46.032687936398354;797.4385430104733;0.996;3.623877072286515;3.0959039397868584;100.63786098735618;1.1908760659785138;25.177152;0.45061739606501944
Nogent;34560;10000;300.70219838968825;238.25099401756137;202.42708572759824;2.024270857275982;43.467411436817486;809.433580427983;0.9959;3.6700563005232527;3.1165123817065803;100.51877084606194;1.1840705048500426;25.546752;0.4473792494553441
Nogent;35060;10000;310.4314814852683;248.75859774449677;204.72546870240373;2.0472546870240373;48.38029118550576;816.3827428537876;0.9955;3.773187584564009;3.141577020935247;100.05134523748833;1.1892710185473103;25.916352;0.4504804264982358
Nogent;35560;10000;316.1855508588774;253.16707888050377;208.48613037916292;2.0848613037916293;48.777658896643466;832.0731618199738;0.9968;3.8601754719761927;3.2391704492363607;99.99310908037697;1.1729598850430167;26.285952;0.4490909182281147
Nogent;36060;10000;320.935460242546;251.5272385048894;213.02926039560242;2.130292603956024;52.62084945655844;839.3572828792845;0.997;3.8978061726774422;3.2664357833145097;100.11599035484547;1.183092955157742;26.655552;0.4506353820767497
Nogent;36560;10000;324.3699880634664;261.20839974068076;209.88559475473298;2.0988559475473294;57.18218576542928;846.0616965921332;0.9977;3.9440489540059818;3.277997517058774;100.17359652270122;1.177555180031087;27.025152;0.4475845351286241
Nogent;37060;10000;329.65169505362024;261.75954262464626;214.84769383293326;2.1484769383293325;60.09978597407161;857.2111596931582;0.9988;3.99842653160958;3.33140872136528;99.99109158442454;1.1779322247422106;27.394752;0.4522913457668149
Nogent;37560;10000;332.7000945479049;264.580659145116;216.16123719098815;2.1616123719098814;59.23327689898773;866.0374531074051;0.9984;4.036700513754151;3.359881741137757;100.51073845540725;1.189145545708082;27.764352;0.44829905204281123
Nogent;38060;10000;338.1287466466969;268.5322726256729;219.42645326944043;2.1942645326944046;64.57107463073926;878.328676498945;0.9987;4.130480882214705;3.4247002878368753;99.8432496800658;1.1787284318728422;28.133952;0.45016011946098033
